,IC Mean,IC Std.,Risk-Adjusted IC,t-stat(IC),p-value(IC),IC Skew,IC Kurtosis
1m,-0.02549161892802551,0.5893605794343322,-0.043253009816999206,,,,
5m,-0.040116649552274855,0.5594564942662831,-0.07170646862342192,-3.993091097033949,6.673120946030614e-05,0.10268855437887109,-1.1062145407677706
10m,-0.05393812809178579,0.5718097956104462,-0.09432879343069514,-5.252851973790208,1.598845212753546e-07,0.13346782117734302,-1.1248501753452418
