factor_quantile,min,max,mean,std,count,count %
1,-4.0,-4.0,-4.0,0.0,3101,25.004031607805192
2,-3.0,-3.0,-3.0,0.0,3099,24.98790517658442
3,-2.0,-2.0,-2.0,0.0,2,0.016126431220770843
4,-2.0,-2.0,-2.0,0.0,3099,24.98790517658442
5,-1.0,-1.0,-1.0,0.0,3101,25.004031607805192
