,1m,5m,10m
Ann. alpha,-0.9869557979308089,-0.9723117615237337,-0.9665297946843598
beta,0.16138642215959456,0.04379904551550094,0.00700874261668466
Mean Period Wise Return Top Quantile (bps),-0.26347695840645,-0.2230019289906071,-0.20952368144699918
Mean Period Wise Return Bottom Quantile (bps),0.04626905765192646,0.08034824369396176,0.0927159451680204
Mean Period Wise Spread (bps),-0.30974601605816277,-0.3041728866961266,-0.30313942200270527
