factor_quantile,min,max,mean,std,count,count %
1,-499.0,-397.0,-449.49593659214827,28.86846208731947,1326965,20.041803441360546
2,-406.0,-296.0,-349.4955676538602,28.863821666432635,1326724,20.038163500119165
3,-307.0,-195.0,-249.98855554743704,28.583407852394753,1313868,19.843993024603886
4,-206.0,-95.0,-150.48854367995273,28.861368548466967,1326604,20.03635108124379
5,-104.0,-1.0,-50.49798692367117,28.865455137286315,1326825,20.039688952672606
